"SampleID = 27"
"Batch Name: Batch,1/1/2000,00:00     Batch Description: <None>"
"EventNo" "BeadID" "IsDDGated" "DD" "CL1" "CL2" "RP1"
1 0 "False" 18376 455 382 250
2 18 "True" 13069 137 222 71
3 43 "True" 11398 239 1082 779
4 0 "False" 25373 66 0 4
5 36 "True" 12474 677 628 40
6 19 "True" 10181 209 204 16
7 25 "True" 12575 128 369 13
8 0 "False" 16555 262 390 17
9 27 "True" 13835 410 311 0
10 0 "False" 15993 2541 1168 42
11 35 "True" 11577 401 619 15
12 0 "False" 6924 345 458 0
13 28 "True" 10187 629 354 107
14 36 "True" 12516 697 642 2
15 52 "True" 9672 229 1629 841
16 98 "True" 11661 7481 17841 998
17 0 "False" 17650 10 2 11
18 0 "False" 15221 72 1117 5
19 33 "True" 10580 115 587 666
20 29 "True" 11748 1282 344 301
21 34 "True" 10499 222 622 24
22 54 "True" 13407 694 1730 4830
23 0 "False" 15662 771 705 20
24 25 "True" 10323 126 356 6
25 0 "False" 15714 2497 1135 62
26 21 "True" 9163 664 205 54
27 46 "True" 9805 1210 955 6752
28 97 "True" 8595 4105 16905 843
29 33 "True" 10311 120 583 2988
30 54 "True" 10453 749 1825 1757
31 47 "True" 9589 2320 1014 145
32 18 "True" 10374 125 206 138
33 18 "True" 14768 129 210 39
34 0 "False" 15260 8246 22200 142
35 99 "True" 13936 14039 17083 958
36 37 "True" 13535 1320 602 165
37 33 "True" 9248 124 605 2536
38 0 "False" 17704 778 1108 92
39 18 "True" 9627 119 198 8
40 98 "True" 11011 7265 17511 679
41 56 "True" 9770 2252 1638 205
42 28 "True" 9584 648 350 33
43 21 "True" 11728 688 209 55
44 100 "True" 10941 21736 16441 2
45 0 "False" 16016 764 1846 3998
46 99 "True" 14441 13792 18394 2407
47 0 "False" 16878 1482 229 737
48 0 "False" 27721 1393 2051 255
49 0 "False" 18081 143 222 49
50 21 "True" 10029 692 212 85
51 34 "True" 10245 231 655 60
52 0 "False" 15291 1342 1097 5159
53 25 "True" 10327 137 385 28
54 44 "True" 13719 418 1039 1767
55 0 "False" 15207 433 377 560
56 27 "True" 11392 414 362 787
57 27 "True" 9840 386 343 782
58 25 "True" 14703 138 396 10
59 0 "False" 17030 415 221 10
60 0 "False" 15090 1314 1066 3303
61 0 "False" 15372 2563 1143 12
62 41 "True" 11296 70 1117 25
63 33 "True" 14977 130 616 2598
64 42 "True" 11220 126 1030 423
65 42 "True" 10632 131 1046 309
66 35 "True" 11516 453 686 17
67 36 "True" 11994 689 631 28
68 0 "False" 16205 764 1883 4680
69 0 "False" 16990 734 406 63
70 97 "True" 11035 4072 16561 1080
71 0 "True" 8918 1033 836 1356
72 26 "True" 12289 230 362 31
73 0 "False" 16625 133 677 2181
74 52 "True" 13038 238 1699 2282
75 37 "True" 11799 1310 581 328
76 20 "True" 11494 399 217 18
77 45 "True" 10571 719 1073 27
78 0 "False" 29082 54 0 0
79 36 "True" 11305 685 613 47
80 22 "True" 11179 1309 196 1671
81 19 "True" 13146 229 224 46
82 25 "True" 10948 127 369 12
83 56 "True" 11632 2571 1826 164
84 28 "True" 14557 754 405 15
85 0 "True" 12558 7 0 1
86 100 "True" 13733 22810 17470 7
87 34 "True" 14080 243 686 585
88 27 "True" 11733 389 326 338
89 43 "True" 9976 234 1070 301
90 56 "True" 11745 2364 1683 157
91 0 "False" 16498 416 224 26
92 26 "True" 10804 245 381 27
93 37 "True" 13190 1344 599 378
94 44 "True" 10454 419 1031 2075
95 99 "True" 11823 13726 16825 722
96 25 "True" 11945 135 395 12
97 0 "False" 15528 803 1165 218
98 56 "True" 11523 2404 1721 161
99 0 "False" 16515 452 1125 1601
100 0 "False" 16295 477 410 1239
101 20 "True" 11793 395 216 46
102 43 "True" 12816 245 1099 855
103 46 "True" 12402 1383 1127 6007
104 19 "True" 10809 225 219 51
105 47 "True" 9202 2297 1064 191
106 47 "True" 11889 2474 1137 57
107 0 "False" 17918 1478 399 164
108 0 "False" 17032 465 381 21
109 28 "True" 10582 711 390 33
110 100 "True" 11355 20851 15517 32
111 28 "True" 12364 680 375 34
112 0 "False" 17980 140 1919 6435
113 0 "False" 16656 427 362 615
114 19 "True" 10458 251 239 76
115 54 "True" 11274 750 1859 4681
116 20 "True" 10646 405 214 47
117 19 "True" 12796 224 217 101
118 97 "True" 11544 4121 17027 486
119 28 "True" 14928 689 377 10
120 0 "False" 15499 820 1186 24
121 0 "False" 15128 145 1154 321
122 0 "False" 17030 148 1163 311
123 0 "False" 16677 74 1139 31
124 98 "True" 14491 7892 15448 989
125 0 "False" 17251 138 687 2529
126 22 "True" 14051 1269 191 1452
127 36 "True" 10157 692 627 16
128 19 "True" 10752 210 216 44
129 29 "True" 11035 1276 350 98
130 0 "False" 16246 429 364 794
131 0 "False" 17309 250 1123 296
132 37 "True" 12356 1330 584 716
133 18 "True" 9360 129 200 29
134 41 "True" 10024 68 1046 93
135 27 "True" 10667 444 367 900
136 29 "True" 10574 1230 345 144
137 0 "False" 15372 8387 19434 602
138 100 "True" 13609 22289 15399 12
139 21 "True" 11069 728 221 44
140 29 "True" 14630 1263 346 757
141 0 "False" 17867 138 221 32
142 54 "True" 10753 851 1984 7106
143 47 "True" 10968 2352 1034 112
144 99 "True" 12077 13551 17940 2408
145 47 "True" 10678 2500 1088 0
146 0 "False" 17234 444 384 574
147 18 "True" 9749 117 188 20
148 45 "True" 9732 668 978 143
149 34 "True" 10752 238 674 30
150 20 "True" 13674 402 219 64
151 0 "False" 16642 1448 1145 4680
152 0 "False" 15043 759 1806 1439
153 27 "True" 10645 392 342 128
154 20 "True" 9270 371 206 19
155 28 "True" 10613 678 374 82
156 22 "True" 12268 1294 198 1273
157 36 "True" 11420 728 652 28
158 20 "True" 13941 394 219 51
159 0 "False" 17821 267 1891 3155
160 0 "False" 16291 1472 402 162
161 27 "True" 12723 421 367 937
162 54 "True" 10762 706 1714 1531
163 21 "True" 10168 655 201 2
164 51 "True" 10628 133 1827 3412
165 21 "True" 14045 716 219 57
166 27 "True" 9998 390 335 897
167 52 "True" 10373 235 1667 2479
168 0 "False" 17441 138 211 51
169 98 "True" 12666 7821 18155 2327
170 22 "True" 10018 1204 185 1354
171 0 "False" 16471 441 379 441
172 22 "True" 14798 1362 211 1122
173 43 "True" 11240 243 1081 714
174 25 "True" 11504 121 349 7
175 98 "True" 9059 7093 16220 6248
176 0 "False" 15974 754 1091 141
177 19 "True" 13726 225 213 10
178 0 "False" 16276 244 237 22
179 33 "True" 11578 130 629 2462
180 35 "True" 12434 411 622 59
181 97 "True" 10618 4015 16507 1046
182 33 "True" 10985 127 608 2838
183 37 "True" 10295 1255 562 1827
184 36 "True" 10820 720 656 12
185 0 "True" 11813 3230 13276 480
186 52 "True" 10855 241 1786 511
187 47 "True" 12723 2325 1055 6
188 25 "True" 9491 123 348 29
189 28 "True" 11669 661 363 26
190 21 "True" 10338 654 202 123
191 0 "False" 15751 262 1808 3017
192 0 "False" 15177 141 219 45
193 20 "True" 13823 408 215 34
194 20 "True" 11381 389 210 43
195 0 "False" 18216 412 221 84
196 52 "True" 11272 242 1711 1408
197 36 "True" 10924 695 634 12
198 27 "True" 10369 394 337 836
199 0 "False" 15002 1391 1116 6934
200 34 "True" 9364 206 585 110
201 21 "True" 9030 654 202 45
202 44 "True" 10648 404 978 1269
203 0 "False" 29303 283 417 4499
204 97 "True" 9136 3944 16370 1062
205 0 "False" 17037 440 668 50
206 20 "True" 10205 368 201 30
207 34 "True" 9815 212 620 52
208 29 "True" 12407 1286 346 85
209 42 "True" 10457 129 1034 380
210 34 "True" 14628 256 699 36
211 0 "False" 16855 249 1756 2990
212 21 "True" 10453 699 217 43
213 100 "True" 10321 23207 17348 39
214 43 "True" 12982 235 1037 675
215 21 "True" 11700 703 215 37
216 52 "True" 9875 230 1679 3103
217 25 "True" 10720 125 359 25
218 54 "True" 10917 722 1743 4418
219 28 "True" 10973 683 373 5
220 28 "True" 9679 586 318 16
221 19 "True" 10391 213 207 89
222 36 "True" 13038 690 619 80
223 0 "False" 17677 240 232 35
224 45 "True" 13955 713 1027 112
225 0 "False" 16434 144 1148 901
226 28 "True" 10760 742 401 26
227 0 "False" 15889 117 331 24
228 22 "True" 10388 1370 218 460
229 20 "True" 14499 410 219 30
230 51 "True" 10935 121 1664 2415
231 0 "False" 16868 425 231 32
232 0 "False" 16028 140 1969 10809
233 54 "True" 10033 707 1725 5817
234 0 "False" 15055 408 214 29
235 27 "True" 10129 414 347 503
236 45 "True" 9164 682 986 131
237 44 "True" 10286 398 997 905
238 54 "True" 9800 659 1642 5106
239 25 "True" 11016 141 415 20
240 0 "False" 16134 230 353 27
241 27 "True" 10483 393 337 596
242 35 "True" 10785 371 575 35
243 33 "True" 13863 134 681 2249
244 56 "True" 10964 2458 1740 3
245 0 "False" 15458 131 1829 10583
246 35 "True" 10079 384 589 55
247 35 "True" 11247 451 672 57
248 52 "True" 10078 216 1569 2219
249 0 "False" 15136 133 1831 9883
250 0 "False" 16141 2633 1135 66
251 0 "False" 16959 1361 367 450
252 0 "True" 11765 5 1 1
253 28 "True" 10072 690 372 38
254 0 "False" 17688 236 372 -2
255 25 "True" 11710 140 404 13
256 18 "True" 13118 139 221 30
257 0 "False" 16340 1455 223 1106
258 56 "True" 12367 2398 1716 169
259 99 "True" 11910 13526 16537 3074
260 44 "True" 12195 424 1049 2512
261 29 "True" 10644 1439 397 135
262 47 "True" 13242 2406 1063 42
263 41 "True" 14124 73 1142 48
264 44 "True" 12850 436 1093 2946
265 99 "True" 8839 12123 16653 939
266 97 "True" 13524 3986 16519 900
267 0 "False" 18198 768 1085 187
268 0 "False" 16832 2378 1110 157
269 0 "False" 17633 1342 1093 5237
270 0 "False" 16385 422 220 46
271 0 "False" 16945 2658 1892 126
272 44 "True" 11749 401 1010 669
273 18 "True" 9787 116 192 18
274 45 "True" 12603 707 1025 50
275 36 "True" 14102 694 630 32
276 26 "True" 9962 218 350 14
277 0 "False" 15772 831 1227 66
278 28 "True" 9057 631 344 12
279 52 "True" 14130 227 1691 2800
280 37 "True" 10083 1270 577 747
281 46 "True" 10776 1283 1040 8584
282 56 "True" 12176 2457 1742 210
283 0 "False" 17013 413 637 38
284 33 "True" 11281 133 624 1798
285 0 "False" 15325 436 231 58
286 100 "True" 14193 25231 20281 7
287 19 "True" 9817 222 213 72
288 34 "True" 11079 204 590 25
