"SampleID = 38589"
"Batch Name: Batch,8/17/2010,13:38     Batch Description: <None>"
"EventNo","BeadID","IsDDGated","DD","CL1","CL2","RP1"
"1","0","False","15380","141","1153","328"
"2","29","True","13100","1353","362","1003"
"3","100","True","11804","22117","17828","3"
"4","0","False","27021","739","223","9491"
"5","52","True","10895","249","1813","94"
"6","0","False","15044","406","608","231"
"7","18","True","9539","140","221","215"
"8","51","True","12678","130","1812","775"
"9","44","True","10226","398","1008","282"
"10","0","False","15748","732","1068","525"
"11","45","True","10149","681","995","579"
"12","54","True","11324","712","1726","53"
"13","37","True","12935","1278","572","275"
"14","47","True","12269","2372","1062","211"
"15","37","True","11335","1322","595","330"
"16","0","False","16787","2607","1866","100"
"17","26","True","10702","229","361","264"
"18","18","True","12944","133","210","244"
"19","0","True","11939","160","2112","1076"
"20","46","True","11651","1197","981","109"
"21","0","False","15722","406","218","139"
"22","54","True","9757","655","1603","4"
"23","20","True","11201","401","212","297"
"24","98","True","9807","6945","16195","760"
"25","97","True","10155","4042","14762","864"
"26","22","True","14398","1287","197","20"
"27","0","False","28784","1417","818","6385"
"28","36","True","13252","734","674","327"
"29","33","True","12533","141","670","858"
"30","0","False","15538","137","1960","738"
"31","56","True","10048","2210","1604","223"
"32","45","True","10280","736","1084","289"
"33","56","True","10752","2356","1691","399"
"34","98","True","14653","7561","18301","537"
"35","28","True","12334","693","371","62"
"36","20","True","11021","383","209","329"
"37","37","True","10147","1256","562","248"
"38","28","True","12364","740","414","83"
"39","98","True","11157","7518","17755","1346"
"40","34","True","11417","244","660","58"
"41","47","True","10834","2294","1050","305"
"42","0","False","17093","785","1877","74"
"43","22","True","12464","1280","198","3"
"44","28","True","11664","702","383","63"
"45","0","False","16808","231","219","137"
"46","0","False","15840","145","1153","231"
"47","36","True","11520","731","664","66"
"48","42","True","11488","122","1024","170"
"49","34","True","11897","235","679","87"
"50","0","False","16766","751","677","190"
"51","28","True","14079","736","400","53"
"52","33","True","10767","131","612","491"
"53","0","False","16559","11","0","6562"
"54","0","False","16795","70","1102","141"
"55","98","True","11163","7526","17711","1120"
"56","52","True","10051","231","1651","83"
"57","46","True","11759","1307","1083","117"
"58","0","False","15759","1429","219","36"
"59","0","False","16745","467","1144","196"
"60","21","True","12355","757","224","850"
"61","34","True","13550","217","632","57"
"62","0","False","16623","404","224","402"
"63","0","False","17255","432","233","271"
"64","25","True","10615","133","378","210"
"65","52","True","10219","227","1620","45"
"66","0","False","18739","453","1130","88"
"67","0","False","6796","7","1","0"
"68","0","False","27252","14","0","0"
"69","51","True","9936","127","1812","1269"
"70","0","False","22060","14162","29239","1447"
"71","0","False","16093","725","651","112"
"72","56","True","11326","2300","1657","170"
"73","27","True","11405","395","320","243"
"74","43","True","10273","228","1042","850"
"75","97","True","14971","4350","19389","782"
"76","27","True","11511","420","364","390"
"77","28","True","14171","756","410","57"
"78","41","True","11685","73","1128","71"
"79","100","True","13790","22955","16199","5"
"80","0","False","16766","1429","637","216"
"81","37","True","11660","1303","586","331"
"82","47","True","14743","2418","1123","297"
"83","19","True","10473","216","211","32"
"84","19","True","11793","245","229","52"
"85","36","True","10393","705","642","216"
"86","99","True","10130","13017","16109","3316"
"87","19","True","9831","210","200","112"
"88","0","False","16701","749","680","211"
"89","41","True","13933","68","1010","59"
"90","41","True","11014","73","1056","147"
"91","43","True","13643","247","1121","318"
"92","44","True","10393","412","1015","160"
"93","18","True","13822","151","236","406"
"94","0","False","15389","133","654","449"
"95","56","True","13424","2409","1712","234"
"96","19","True","11061","230","224","80"
"97","18","True","11099","133","217","864"
"98","27","True","9635","388","332","545"
"99","98","True","12750","7907","17882","1198"
"100","56","True","11394","2410","1737","176"
"101","42","True","10620","138","1084","265"
"102","97","True","10691","4180","15683","819"
"103","33","True","10368","129","649","98"
"104","29","True","10963","1383","382","169"
"105","47","True","12519","2748","1248","331"
"106","28","True","12188","729","405","73"
"107","54","True","10670","701","1723","71"
"108","20","True","11795","378","204","330"
"109","98","True","14816","7614","16650","829"
"110","52","True","9403","228","1632","96"
"111","20","True","11680","421","232","225"
"112","0","False","17724","2560","1131","216"
"113","0","False","16594","233","668","180"
"114","35","True","10802","427","641","448"
"115","46","True","9134","1214","999","100"
"116","0","False","16203","737","415","20"
"117","18","True","13094","130","212","224"
"118","56","True","11116","2352","1703","392"
"119","19","True","12135","215","212","71"
"120","0","False","16255","143","688","739"
"121","0","False","15812","1374","379","187"
"122","0","False","17529","74","1184","118"
"123","18","True","12607","127","201","56"
"124","35","True","9835","361","563","321"
"125","0","False","17482","252","1159","674"
"126","34","True","14994","229","658","39"
"127","18","True","12812","124","202","106"
"128","26","True","9970","221","347","12"
"129","56","True","14832","2512","1828","308"
"130","22","True","11640","1270","201","65"
"131","0","True","13817","9","2","3"
"132","35","True","11088","407","618","310"
"133","0","False","15604","448","384","289"
"134","45","True","9534","648","955","502"
"135","0","False","15117","142","424","2129"
"136","36","True","11885","691","620","92"
"137","0","False","15308","410","633","210"
"138","0","False","15609","131","207","262"
"139","46","True","9695","1219","1000","76"
"140","27","True","10312","401","348","490"
"141","46","True","10651","1227","990","131"
"142","37","True","10935","1273","579","474"
"143","28","True","11025","667","365","35"
"144","0","False","16790","2550","1178","644"
"145","0","False","17689","849","1237","473"
"146","46","True","12711","1339","1104","150"
"147","21","True","11847","674","206","1542"
"148","37","True","11386","1297","576","480"
"149","26","True","10483","245","397","135"
"150","37","True","11531","1320","585","286"
"151","46","True","10781","1356","1090","173"
"152","0","False","16435","137","690","1042"
"153","99","True","9442","12265","16480","5455"
"154","0","False","17440","1389","619","352"
"155","0","True","9317","533","501","95"
"156","19","True","14102","234","226","26"
"157","35","True","14213","416","640","102"
"158","22","True","9938","1260","195","36"
"159","45","True","9457","710","1027","191"
"160","19","True","10666","219","212","80"
"161","56","True","10340","2264","1641","257"
"162","100","True","11174","21589","16047","9"
"163","25","True","9750","130","379","1346"
"164","22","True","11855","1376","211","14"
"165","22","True","14186","1361","210","41"
"166","41","True","11367","78","1093","53"
"167","100","True","12745","24241","17766","7"
"168","25","True","11091","127","367","1949"
"169","37","True","14779","1374","616","210"
"170","42","True","13490","133","1076","160"
"171","100","True","12893","22779","17166","7"
"172","0","False","15640","147","428","1486"
"173","0","True","13621","8","1","4"
"174","54","True","10618","706","1727","29"
"175","54","True","8944","656","1576","196"
"176","34","True","10252","212","587","7"
"177","0","False","17562","813","445","27"
"178","45","True","11826","672","1029","553"
"179","37","True","10706","1278","571","401"
"180","44","True","10678","403","1005","187"
"181","0","False","15056","1405","219","12"
"182","0","False","15380","233","227","17"
"183","29","True","12363","1322","365","78"
"184","0","False","17426","775","701","120"
"185","0","False","15256","24685","17839","17"
"186","54","True","10326","709","1733","60"
"187","26","True","9964","203","325","143"
"188","21","True","10530","676","206","812"
"189","0","False","15368","781","1129","510"
"190","0","False","15206","243","230","72"
"191","51","True","11568","132","1860","2302"
"192","46","True","12350","1294","1046","87"
"193","98","True","14752","8317","19958","1128"
"194","37","True","10845","1351","600","206"
"195","0","False","15175","76","1178","172"
"196","0","False","16801","246","1734","17"
"197","0","False","15181","135","644","757"
"198","29","True","10728","1200","326","1152"
"199","35","True","11314","416","646","273"
"200","44","True","10142","385","951","139"
"201","0","True","10309","7","0","0"
"202","44","True","10091","394","986","254"
"203","37","True","10816","1352","605","251"
"204","33","True","14745","127","637","734"
"205","56","True","12295","2556","1828","631"
"206","22","True","12426","1265","190","9"
