"SampleID = 38455"
"Batch Name: Batch,8/17/2010,12:25     Batch Description: <None>"
"EventNo","BeadID","IsDDGated","DD","CL1","CL2","RP1"
"1","46","True","14207","1381","1113","101"
"2","21","True","10110","699","218","69"
"3","54","True","10554","647","1569","68"
"4","0","False","17011","432","646","165"
"5","47","True","13364","2208","1023","25"
"6","47","True","10506","2379","1050","61"
"7","20","True","14962","440","240","13"
"8","0","False","15912","73","1138","40"
"9","0","True","9429","10","0","3417"
"10","46","True","14606","1434","1139","86"
"11","54","True","11222","780","1858","398"
"12","0","True","11049","1608","243","19"
"13","0","True","14295","82","1258","60"
"14","98","True","11472","7249","17181","1217"
"15","43","True","14796","233","1018","21"
"16","41","True","10223","63","1044","37"
"17","36","True","14325","797","703","111"
"18","0","True","14190","11","0","4482"
"19","0","False","15939","74","1160","12"
"20","43","True","10300","211","980","37"
"21","18","True","10948","120","184","24"
"22","52","True","10321","251","1791","2959"
"23","28","True","13112","719","315","0"
"24","98","True","11563","7534","17554","908"
"25","43","True","13970","225","1038","23"
"26","22","True","13336","1277","194","13"
"27","0","False","16491","1495","230","11"
"28","34","True","11764","224","632","69"
"29","0","False","16989","235","678","23"
"30","43","True","12002","252","1125","44"
"31","37","True","10659","1316","582","33"
"32","56","True","12197","2394","1707","127"
"33","29","True","10533","1234","338","3128"
"34","0","False","15522","426","224","66"
"35","21","True","10927","692","217","43"
"36","18","True","11794","136","207","18"
"37","47","True","14360","2431","1113","55"
"38","41","True","10999","73","1130","26"
"39","0","False","15932","1372","367","677"
"40","51","True","13198","136","1865","1941"
"41","0","False","17052","252","1116","27"
"42","37","True","11376","1306","587","68"
"43","0","False","16802","663","345","37"
"44","34","True","10225","217","612","64"
"45","51","True","12384","133","1837","2404"
"46","43","True","11216","239","1086","43"
"47","41","True","10134","71","1070","45"
"48","22","True","13444","1311","200","8"
"49","18","True","10976","123","203","27"
"50","18","True","10659","125","198","51"
"51","27","True","14437","429","370","41"
"52","0","False","16149","774","716","11"
"53","0","True","10441","12","11","473"
"54","0","False","15406","1369","1100","120"
"55","100","True","12840","23546","14867","38"
"56","98","True","12904","7460","17698","32743"
"57","51","True","14287","126","1839","1427"
"58","0","False","27075","90","1","129"
"59","35","True","10833","423","652","0"
"60","46","True","10256","1279","1037","60"
"61","0","False","15789","252","1149","107"
"62","47","True","10185","2303","1034","54"
"63","34","True","10227","222","627","11"
"64","47","True","10965","2588","1186","58"
"65","46","True","10347","1270","1025","108"
"66","54","True","13051","682","1628","47"
"67","52","True","10451","235","1685","1898"
"68","22","True","9676","1096","170","13"
"69","100","True","11268","23904","18223","92"
"70","28","True","10373","682","377","17"
"71","19","True","12988","235","229","42"
"72","45","True","11094","703","1048","68"
"73","99","True","13147","14350","17641","3352"
"74","52","True","11082","242","1767","2093"
"75","20","True","14086","419","223","23"
"76","22","True","10977","1281","198","41"
"77","47","True","9452","2189","1023","56"
"78","21","True","12346","742","230","38"
"79","52","True","14966","262","1867","2179"
"80","0","False","15986","233","667","15"
"81","20","True","11960","393","216","20"
"82","47","True","10944","2147","988","51"
"83","0","False","15916","437","234","24"
"84","97","True","10548","4053","16497","1243"
"85","36","True","12207","751","676","53"
"86","99","True","11626","13539","17051","3797"
"87","36","True","10963","703","622","26"
"88","0","False","16662","253","699","14"
"89","0","False","16820","2581","1187","55"
"90","56","True","11113","2521","1822","388"
"91","52","True","13679","237","1754","1680"
"92","52","True","10177","247","1780","2945"
"93","100","True","12127","22149","16440","10"
"94","0","False","15462","239","668","29"
"95","52","True","9588","224","1631","421"
"96","20","True","9811","375","203","19"
"97","0","False","15249","752","1819","7"
"98","35","True","13298","423","641","21"
"99","27","True","11002","343","281","26"
"100","0","False","16138","2575","1843","43"
"101","0","False","16052","1420","216","2"
"102","43","True","9916","223","1022","51"
"103","0","False","6373","5","0","1"
"104","98","True","12250","7946","18315","31463"
"105","0","False","15980","8473","19519","1006"
"106","22","True","10089","1292","197","1"
"107","20","True","9916","387","204","73"
"108","34","True","10653","223","633","33"
"109","47","True","13706","2410","1098","23"
"110","56","True","10517","2439","1747","54"
"111","42","True","10829","135","1051","55"
"112","21","True","11869","652","196","3"
"113","34","True","10598","223","622","24"
"114","52","True","14073","244","1776","2134"
"115","51","True","13617","149","2010","3515"
"116","43","True","12380","246","1111","66"
"117","22","True","11099","1264","196","13"
"118","36","True","10411","685","626","24"
"119","28","True","13762","696","388","29"
"120","20","True","9682","382","204","57"
"121","27","True","9914","402","341","91"
"122","18","True","12390","140","223","34"
"123","33","True","13184","135","673","1595"
"124","54","True","9900","705","1704","68"
"125","100","True","14447","24263","18216","31"
"126","45","True","10224","747","1083","60"
"127","0","False","16112","1367","375","669"
"128","22","True","10234","1390","209","26"
"129","0","False","17404","1462","385","2232"
"130","28","True","9665","613","335","72"
"131","26","True","11395","257","393","31"
"132","99","True","11508","13880","18494","5244"
"133","97","True","11020","4282","16800","1029"
"134","46","True","14315","1446","1151","143"
"135","45","True","12429","735","1053","68"
"136","47","True","12047","2668","1210","15"
"137","100","True","14409","24606","18249","11"
"138","0","False","17876","150","1992","732"
"139","51","True","13005","154","2003","564"
"140","0","False","16870","755","413","20"
"141","0","False","17541","481","1183","13"
"142","43","True","12187","256","1140","53"
"143","0","False","16882","244","1730","1331"
"144","0","False","16114","139","1905","2864"
"145","97","True","10389","4228","16584","1109"
"146","22","True","9610","1113","166","6"
"147","44","True","10210","400","1004","29"
"148","0","False","15592","247","235","47"
"149","37","True","11014","1313","584","88"
"150","21","True","10683","793","232","17"
"151","33","True","10473","127","626","1191"
"152","0","False","15163","254","1142","5"
